PRIORITY,FW_SEGMENT,FW_NAME,FW_TYPE,DAYS_STALE,DEVICE_COLLECTION_DATE,CANONICAL_LOCATION,SITE_CODE,HERITAGE,CONFIG_FILE
CRITICAL,INTERNAL-DC,RRIDCSECAETNA01,ASA,311,2025-10-26,,,,RRIDCSECAETNA01_20251026_210638.config
CRITICAL,RETAIL-SDWAN,PAZSHDC-SEC-EXXT-SDWAN-01XAact,ASA,264,2025-12-12,,,,PAZSHDC-SEC-EXXT-SDWAN-01XAact_20251212_210044.config
HIGH,INTERNAL-DC,pilmpmo2secintmdf-01XAact,ASA,164,2026-03-22,,,,pilmpmo2secintmdf-01XAact_20260322_074017.config
HIGH,CLOUD,PAZSHDC-SEC-EXXTFTD-02,FTD,163,2026-03-23,Scottsdale AZ - Shea DC,US_SCO_AZ_DC,CVS,PAZSHDC-SEC-EXXTFTD-02_20260323_092115.config
HIGH,CLOUD,RRIWSDC-SEC-EXXTFTD-02,FTD,163,2026-03-23,Woonsocket RI - RI One,US_WOR_RI_DC,CVS,RRIWSDC-SEC-EXXTFTD-02_20260323_092137.config
HIGH,CLOUD,PAZSHDC-SEC-EXXTFTD-01,FTD,162,2026-03-24,Scottsdale AZ - Shea DC,US_SCO_AZ_DC,CVS,PAZSHDC-SEC-EXXTFTD-01_20260324_125446.config
HIGH,CLOUD,PAZSHDC-SEC-EXXTFTD-03,FTD,162,2026-03-24,Scottsdale AZ - Shea DC,US_SCO_AZ_DC,CVS,PAZSHDC-SEC-EXXTFTD-03_20260324_060335.config
HIGH,CLOUD,PAZSHDC-SEC-EXXTFTD-04,FTD,162,2026-03-24,Scottsdale AZ - Shea DC,US_SCO_AZ_DC,CVS,PAZSHDC-SEC-EXXTFTD-04_20260324_103154.config
HIGH,CLOUD,RRIWSDC-SEC-EXXTFTD-01,FTD,162,2026-03-24,Woonsocket RI - RI One,US_WOR_RI_DC,CVS,RRIWSDC-SEC-EXXTFTD-01_20260324_104215.config
HIGH,CLOUD,RRIWSDC-SEC-EXXTFTD-03,FTD,162,2026-03-24,,,,RRIWSDC-SEC-EXXTFTD-03_20260324_100239.config
HIGH,CLOUD,RRIWSDC-SEC-EXXTFTD-04,FTD,162,2026-03-24,Woonsocket RI - RI One,US_WOR_RI_DC,CVS,RRIWSDC-SEC-EXXTFTD-04_20260324_073819.config
HIGH,INTERNAL-DC,PTXXDALSECCLUDEQ-01,ASA,139,2026-04-16,,,,PTXXDALSECCLUDEQ-01_20260416_075517.config
HIGH,EGRESS,WIN-DS-L2-EDMZ-1_new,ASA,133,2026-04-22,Phoenix AZ - Aetna DC,US_PHX_AZ_DC,AETNA,WIN-DS-L2-EDMZ-1_new_20260422_064958.config
HIGH,EGRESS,mid-ds-l3-edmz-1_old,ASA,133,2026-04-22,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-ds-l3-edmz-1_old_20260422_080415.config
HIGH,B2B-VPN,mid-fw-vpn1XAact,ASA,133,2026-04-22,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-fw-vpn1XAact_20260422_075015.config
HIGH,B2B-VPN,mid-fw-vpn2XAact,ASA,133,2026-04-22,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-fw-vpn2XAact_20260422_060851.config
HIGH,B2B-VPN,win-fw-vpn1XAact,ASA,133,2026-04-22,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,win-fw-vpn1XAact_20260422_061125.config
HIGH,B2B-VPN,win-fw-vpn2XAact,ASA,133,2026-04-22,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,win-fw-vpn2XAact_20260422_062259.config
HIGH,MGMT,MID-PAN-PROD-01,PA,132,2026-04-23,,,,MID-PAN-PROD-01_20260423_060205.config
HIGH,EGRESS,PAZSHDC-SEC-EXXT-NET-PA-01,PA,132,2026-04-23,,,,PAZSHDC-SEC-EXXT-NET-PA-01_20260423_064920.config
HIGH,EGRESS,PAZSHDC-SEC-EXXT-NET-PA-02,PA,132,2026-04-23,,,,PAZSHDC-SEC-EXXT-NET-PA-02_20260423_075109.config
HIGH,EGRESS,PAZSHDC-SEC-EXXTWIR-PA-01,PA,132,2026-04-23,,,,PAZSHDC-SEC-EXXTWIR-PA-01_20260423_062050.config
HIGH,EGRESS,PAZSHDC-SEC-EXXTWIR-PA-02,PA,132,2026-04-23,,,,PAZSHDC-SEC-EXXTWIR-PA-02_20260423_074034.config
HIGH,MGMT,PAZSHDC-SEC-PAN-PROD-01,PA,132,2026-04-23,,,,PAZSHDC-SEC-PAN-PROD-01_20260423_075511.config
HIGH,MGMT,RRISHDC-SEC-PAN-PROD-01,PA,132,2026-04-23,,,,RRISHDC-SEC-PAN-PROD-01_20260423_073957.config
HIGH,INTERNAL-DC,RRIWSCP-SEC-EXXT-EMPTEMP-PA-01,PA,132,2026-04-23,,,,RRIWSCP-SEC-EXXT-EMPTEMP-PA-01_20260423_064615.config
HIGH,INTERNAL-DC,RRIWSCP-SEC-EXXT-EMPTEMP-PA-02,PA,132,2026-04-23,,,,RRIWSCP-SEC-EXXT-EMPTEMP-PA-02_20260423_070851.config
HIGH,EGRESS,RRIWSDC-SEC-EXXT-APP-PA-01,PA,132,2026-04-23,,,,RRIWSDC-SEC-EXXT-APP-PA-01_20260423_060047.config
HIGH,EGRESS,RRIWSDC-SEC-EXXT-APP-PA-02,PA,132,2026-04-23,,,,RRIWSDC-SEC-EXXT-APP-PA-02_20260423_081748.config
HIGH,MGMT,WIN-PAN-PROD-01,PA,132,2026-04-23,,,,WIN-PAN-PROD-01_20260423_060133.config
HIGH,INTERCOMPANY,cae-fw-prodsvc-pa-a,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,cae-fw-prodsvc-pa-a_20260423_074901.config
HIGH,INTERCOMPANY,cae-fw-prodsvc-pa-b,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,cae-fw-prodsvc-pa-b_20260423_081005.config
HIGH,INTERCOMPANY,cae-fw-qasvc-pa-a,PA,132,2026-04-23,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,cae-fw-qasvc-pa-a_20260423_061952.config
